senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,gender_female,internet_service_dsl,internet_service_fiber_optic,internet_service_no,contract_month-to-month,contract_one_year,contract_two_year,payment_method_bank_transfer_(automatic),payment_method_credit_card_(automatic),payment_method_electronic_check,payment_method_mailed_check,service_count,charge_per_service,has_streaming,has_long_contract,is_auto_payment,fiber_month_to_month,echeck_month_to_month,fiber_no_protection,charge_to_tenure,total_to_monthly_ratio,tenure_bin
0,1,1,65,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,94.55,6078.75,0,0,1,0,0,0,1,0,1,0,0,5.0,15.758333333333333,0,1,1,0,0,0.0,1.4325757575757576,63.61852433281005,3
0,0,0,26,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,35.75,1022.5,0,1,0,0,1,0,0,0,0,1,0,2.0,11.916666666666666,0,0,0,0,1,0.0,1.3240740740740742,27.82312925170068,1
0,1,0,68,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,90.2,6297.65,1,0,1,0,0,0,1,0,1,0,0,4.0,18.04,0,1,1,0,0,0.0,1.3072463768115943,69.0531798245614,3
0,0,0,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,84.3,235.05,0,0,1,0,1,0,0,0,0,1,0,2.0,28.099999999999998,1,0,0,1,1,1.0,21.075,2.7555685814771396,0
0,1,0,49,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,40.65,2070.75,1,1,0,0,1,0,0,1,0,0,0,2.0,13.549999999999999,1,0,1,0,0,0.0,0.813,49.71788715486195,2
1,1,0,64,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,97.0,6430.9,1,0,1,0,0,1,0,1,0,0,0,4.0,19.4,1,1,1,0,0,0.0,1.4923076923076923,65.62142857142857,3
0,0,0,7,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,64.3,445.95,0,1,0,0,1,0,0,1,0,0,0,3.0,16.075,1,0,1,0,0,0.0,8.0375,6.829249617151608,0
0,0,0,22,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,93.2,2157.3,0,0,1,0,1,0,0,0,0,0,1,3.0,23.3,1,0,0,1,0,1.0,4.052173913043478,22.90127388535032,1
0,1,1,31,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,54.35,1647.0,0,1,0,0,1,0,0,0,0,0,1,2.0,18.116666666666667,0,0,0,0,0,0.0,1.6984375,29.756097560975608,1
0,0,0,6,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,47.95,305.1,1,1,0,0,1,0,0,0,0,1,0,3.0,11.9875,1,0,0,0,1,0.0,6.8500000000000005,6.232890704800817,0
0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.2,19.2,0,0,0,1,1,0,0,0,0,0,1,0.0,19.2,0,0,0,0,0,0.0,9.6,0.9504950495049505,0
0,0,0,6,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,79.05,434.5,1,0,1,0,1,0,0,0,0,1,0,2.0,26.349999999999998,0,0,0,1,1,0.0,11.292857142857143,5.427857589006871,0
0,0,0,12,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,79.8,1001.2,1,0,1,0,1,0,0,0,0,1,0,2.0,26.599999999999998,0,0,0,1,1,0.0,6.138461538461538,12.391089108910892,0
0,1,0,61,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,106.35,6751.35,1,0,1,0,1,0,0,0,0,1,0,5.0,17.724999999999998,1,0,0,1,1,0.0,1.7153225806451613,62.89101071262227,3
0,0,0,43,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.65,779.25,1,0,0,1,0,0,1,1,0,0,0,0.0,19.65,0,1,1,0,0,0.0,0.44659090909090904,37.7360774818402,2
1,0,0,30,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,40.3,1172.95,1,1,0,0,1,0,0,0,0,1,0,2.0,13.433333333333332,1,0,0,0,1,0.0,1.2999999999999998,28.40072639225182,1
0,0,0,22,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,55.15,1193.05,0,1,0,0,0,1,0,0,1,0,0,2.0,18.383333333333333,0,1,1,0,0,0.0,2.3978260869565218,21.24755120213713,1
