senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,gender_female,internet_service_dsl,internet_service_fiber_optic,internet_service_no,contract_month-to-month,contract_one_year,contract_two_year,payment_method_bank_transfer_(automatic),payment_method_credit_card_(automatic),payment_method_electronic_check,payment_method_mailed_check,service_count,charge_per_service,has_streaming,has_long_contract,is_auto_payment,fiber_month_to_month,echeck_month_to_month,fiber_no_protection,charge_to_tenure,total_to_monthly_ratio,tenure_bin
0,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,29.85,29.85,0,1,1,0,0,1,0,0,0,0,1,0,1.0,14.925,0,0,0,0,1,0.0,14.925,0.9675850891410048,0
0,0,0,34,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,56.95,1889.5,0,0,1,0,0,0,1,0,0,0,0,1,2.0,18.983333333333334,0,1,0,0,0,0.0,1.6271428571428572,32.60569456427955,1
0,0,0,2,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,53.85,108.15,1,0,1,0,0,1,0,0,0,0,0,1,2.0,17.95,0,0,0,0,0,0.0,17.95,1.9717411121239745,0
0,0,0,45,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,42.3,1840.75,0,0,1,0,0,0,1,0,1,0,0,0,3.0,10.575,0,1,1,0,0,0.0,0.9195652173913043,42.51154734411086,2
0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,70.7,151.65,1,1,0,1,0,1,0,0,0,0,1,0,0.0,70.7,0,0,0,1,1,1.0,23.566666666666666,2.1150627615062763,0
0,0,0,8,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1,99.65,820.5,1,1,0,1,0,1,0,0,0,0,1,0,4.0,19.93,1,0,0,1,1,1.0,11.072222222222223,8.152011922503725,0
0,0,1,22,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,89.1,1949.4,0,0,0,1,0,1,0,0,0,1,0,0,3.0,22.275,1,0,1,1,0,1.0,3.8739130434782605,21.63596004439512,1
0,0,0,10,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,29.75,301.9,0,1,1,0,0,1,0,0,0,0,0,1,1.0,14.875,0,0,0,0,0,0.0,2.7045454545454546,9.817886178861787,0
0,1,0,28,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,104.8,3046.05,1,1,0,1,0,1,0,0,0,0,1,0,5.0,17.466666666666665,1,0,0,1,1,0.0,3.613793103448276,28.790642722117205,1
0,0,1,62,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,56.15,3487.95,0,0,1,0,0,0,1,0,1,0,0,0,2.0,18.716666666666665,0,1,1,0,0,0.0,0.8912698412698412,61.031496062992126,3
0,1,1,13,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,49.95,587.45,0,0,1,0,0,1,0,0,0,0,0,1,1.0,24.975,0,0,0,0,0,0.0,3.567857142857143,11.529931305201178,1
0,0,0,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.95,326.8,0,0,0,0,1,0,0,1,0,1,0,0,0.0,18.95,0,1,1,0,0,0.0,1.1147058823529412,16.380952380952383,1
0,1,0,58,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,100.35,5681.1,0,0,0,1,0,0,1,0,0,1,0,0,4.0,20.07,1,1,1,0,0,1.0,1.7008474576271186,56.05426739023188,2
0,0,0,49,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,103.7,5036.3,1,0,0,1,0,1,0,0,1,0,0,0,5.0,17.283333333333335,1,0,1,1,0,1.0,2.074,48.102196752626554,2
0,0,0,25,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,105.5,2686.05,0,0,0,1,0,1,0,0,0,0,1,0,5.0,17.583333333333332,1,0,0,1,1,0.0,4.0576923076923075,25.221126760563383,1
0,1,1,69,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,113.25,7895.15,0,1,0,1,0,0,0,1,0,1,0,0,7.0,14.15625,1,1,1,0,0,0.0,1.6178571428571429,69.10415754923413,3
0,0,0,52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.65,1022.95,0,1,0,0,1,0,1,0,0,0,0,1,0.0,20.65,0,1,0,0,0,0.0,0.38962264150943393,47.24942263279446,2
0,0,1,71,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,106.7,7382.25,0,0,0,1,0,0,0,1,1,0,0,0,5.0,17.783333333333335,1,1,1,0,0,0.0,1.4819444444444445,68.54456824512535,3
0,1,1,10,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,55.2,528.35,1,1,1,0,0,1,0,0,0,1,0,0,2.0,18.400000000000002,0,0,1,0,0,0.0,5.0181818181818185,9.401245551601424,0
0,0,0,21,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,90.05,1862.9,0,1,0,1,0,1,0,0,0,0,1,0,3.0,22.5125,1,0,0,1,1,1.0,4.093181818181818,20.460186710598574,1
1,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,39.65,39.65,1,0,1,0,0,1,0,0,0,0,1,0,2.0,13.216666666666667,1,0,0,0,1,0.0,19.825,0.97539975399754,0
0,1,0,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.8,202.25,0,0,0,0,1,0,1,0,1,0,0,0,0.0,19.8,0,1,1,0,0,0.0,1.5230769230769232,9.723557692307692,0
